image_path,eye_left_width,eye_right_width,eye_height_right,eye_height_left,eye_aspect_ratio_left,eye_aspect_ratio_right,mouth_width,mouth_height,mouth_aspect_ratio,eyebrow_distance_left,eyebrow_distance_right,jaw_width,face_width,face_height,cheek_distance,philtrum,forehead_height,bitemporal_width,mouth_to_chin,pupillary_distance,intercanthal_distance,iris_diameter,age,gender,emotion,race
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[3]_cam[0].jpg,0.06604764467653823,0.06424534726176913,0.19570799251888643,0.1977277323928979,0.28678067408765173,0.29534022463104537,0.3897941951166225,0.10800563911623746,2.641448341498899,0.2964620815502651,0.3173118130760061,0.9680846868777957,1.052499320629496,0.9638534048645988,0.7425885275762998,0.139873985243804,0.17851141884188343,1.0313522357509992,0.27050108922418953,0.4492931050080297,0.24485898257712785,0.09448147545024357,31,Woman,sad,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[0]_cam[0].jpg,0.06580109704759202,0.06848131708573414,0.19844124308879552,0.20229395825876037,0.29975789528341573,0.29143356363910944,0.3863829934876754,0.1113748998686338,2.5808349305727045,0.2863792366101811,0.3236166881058335,0.9464327069102995,1.023560972180103,0.9495111013507451,0.7346155471094236,0.1356653417152041,0.17916249693350092,1.0130726262525156,0.2576840928361095,0.443917281594679,0.2332879381422402,0.08067692539514489,29,Man,fear,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[2]_cam[0].jpg,0.057185976594767124,0.06105204353214161,0.18891413416937128,0.19737150413681065,0.27360457199377297,0.2643822135260275,0.3899828064351101,0.11335737158425076,2.566334489974574,0.29364137640955174,0.32145097842273146,0.9624651802937709,1.0421972509017285,0.9611956698487144,0.7416400929787211,0.1373023532529642,0.16921231188024233,1.0252439248511729,0.2689570313026543,0.4477818798730647,0.24650514088153744,0.09238414215709173,30,Woman,sad,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[7]_cam[0].jpg,0.08126733074490422,0.08299321648141574,0.21026125098535878,0.2162012058989551,0.3407425888352808,0.3413900882909325,0.3825730414698252,0.10691031324237986,2.6316766288393305,0.28646511690788395,0.31793168231603464,0.9431061429667822,1.0193675185194373,0.9454619236594836,0.7273768459358936,0.14140982182146816,0.1942518769472534,1.0024587486439467,0.2667623938229161,0.44703404406219344,0.2260928594349052,0.07396003650944667,24,Man,surprise,latino hispanic
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[1]_cam[0].jpg,0.05996736679543492,0.05899708650198207,0.19790004384526316,0.20195147848727488,0.25831352432250737,0.26621866114334497,0.38904702022319704,0.10976993617485643,2.6053598380530794,0.29144104997741715,0.3177807782015947,0.9438645702130113,1.0208823933773568,0.9458182933746906,0.7338281827442712,0.1400129132727299,0.16662357191053734,1.0104003335653737,0.26115173154222376,0.44511220821070413,0.23647328127601824,0.08734538559718562,31,Woman,sad,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[10]_cam[0].jpg,0.07088107553168696,0.07278239793098781,0.2047619085926303,0.20727914251564902,0.3106354333042011,0.3048738077763957,0.39349585123359765,0.1097227925055843,2.6453186071065877,0.29198891100906205,0.32180048407092243,0.9562274836778046,1.0365790015001832,0.9568259319337562,0.7401446913312018,0.14450944146109773,0.18415455008700984,1.0205186882822823,0.26185119339227125,0.449079373793816,0.23365074135025574,0.0788940885778737,29,Man,fear,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[8]_cam[0].jpg,0.062150416082735305,0.06440743917935059,0.19415455007453616,0.20288973940123856,0.28069422757589074,0.2801140765760131,0.3988167166419466,0.11268511389863302,2.612993229085159,0.2972679431770541,0.3235254324917888,0.9693139988398434,1.0584147972086324,0.9651911421672298,0.7481046032497269,0.14187446667965634,0.1782751559888305,1.0398526844764,0.26562210943166176,0.45108871927760974,0.24683529952365774,0.09433671624410883,31,Woman,sad,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[9]_cam[0].jpg,0.072524296486613,0.07236068665524303,0.194233664794286,0.19925669070711827,0.3205450969630146,0.3269984967824837,0.38141234433832955,0.11233603072014693,2.564052209377542,0.29072009688279127,0.3152858205239792,0.9509551341082999,1.0349243252371494,0.9627380539780429,0.7307622930191953,0.13505615644948266,0.19622423872211384,1.0125232580149257,0.27720210436794807,0.44855489021141215,0.2377684801468314,0.09356265969413158,28,Man,happy,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[4]_cam[0].jpg,0.05958435177127752,0.056825673475682056,0.20166937599105492,0.20121338762335234,0.2499745894972888,0.25962609074671555,0.3954907187328367,0.11319868680814946,2.6002197075108167,0.29954087010807884,0.31876332268130086,0.9616151491595202,1.0412586168085003,0.9594544493180808,0.7454636850973179,0.13612801616134557,0.17461549557497585,1.027069611059835,0.2657576410750596,0.45056211490378284,0.24065997367644124,0.09154826675019483,33,Woman,sad,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0000/frame[6]_cam[0].jpg,0.061750624603639344,0.06151180659151286,0.20071813025471666,0.20125720470669747,0.2701658393998813,0.2702889675123935,0.39380470498261044,0.11127032679150195,2.6122180504889467,0.29679018418900877,0.3175804031548901,0.9605309158042737,1.0372667233251651,0.9582391808947228,0.7418046566878848,0.13903765724523542,0.17442294814806206,1.0227750170928276,0.26542472114093835,0.4476721120377932,0.23772635545722193,0.08830432977189852,33,Woman,sad,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0003/frame[3]_cam[0].jpg,0.07992244689720761,0.08485588402950636,0.20624007811368203,0.2141661497221056,0.353963543434388,0.3434558959294296,0.35224975604600023,0.14955090882666933,2.0887166423833743,0.2765273191503245,0.3061777585583689,0.9190042325922027,0.9920125579645065,0.9617001295434979,0.6844885119832037,0.11980462482095487,0.18650236037705753,0.9414322258035994,0.2705907650989483,0.44973048908278845,0.2267570400249679,0.06425408205235064,29,Man,surprise,latino hispanic
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0003/frame[0]_cam[0].jpg,0.08102432259619444,0.07731185018542806,0.20513389963877354,0.20996079344138968,0.324999741847056,0.3465933154290658,0.37568304052857165,0.14216414346314718,2.2000851732497884,0.28742319380844933,0.3066717791889114,0.9285923268565577,1.0083296079300361,0.9764382891907345,0.6972516123565641,0.12071215993082285,0.18529172190191676,0.9588727354628109,0.29085782917882114,0.45752326602453575,0.22756461770939085,0.0997840798222189,29,Man,sad,latino hispanic
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0003/frame[2]_cam[0].jpg,0.07455934190651255,0.0732466148317322,0.20123817315123207,0.2077703790593837,0.31124273615844233,0.3249913510704046,0.36775633476688924,0.15449290448385386,2.101458540905963,0.28467577210086276,0.3081507878508955,0.9299770119563099,1.0054900648382459,0.9786799634187127,0.6986655227642675,0.11660471368945581,0.18219242480271947,0.9562751182556082,0.27963720101572925,0.45451854548751797,0.22826657243157691,0.09752355888013174,28,Man,sad,latino hispanic
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0003/frame[11]_cam[0].jpg,0.04826976021781966,0.051472723375960594,0.19139660338268324,0.19500458870946025,0.23253785695682042,0.22054308173053422,0.36816139777155676,0.15559718824304142,2.1030113767631797,0.28787150741053474,0.3139172073970484,0.9324452656986265,1.01739983748392,0.9814426918529477,0.7105311561371574,0.1180217026348852,0.17133969336915794,0.9744849316783044,0.2764847784565854,0.4503867072054859,0.24108311300122612,0.08006539508640573,29,Man,sad,white
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0003/frame[7]_cam[0].jpg,0.06426317152889154,0.06588127772703792,0.19835127008327524,0.2081474755329964,0.2799922749603562,0.2841723837294285,0.36245212532143356,0.1550067845656875,2.085656504556953,0.28967193520411355,0.31103064502534,0.927233929394628,1.0072322369536262,0.9759284919435888,0.7046259722385781,0.11792742380978952,0.1748970106434929,0.962897884851212,0.27363049219976293,0.4561853922843435,0.23611635741752532,0.09159083670182155,29,Man,sad,latino hispanic
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0003/frame[1]_cam[0].jpg,0.04138107599070374,0.04489811004333626,0.1895490952931672,0.19440651149177401,0.20303060260619785,0.1891836252161797,0.3658103224723908,0.1606863125295715,2.0670922299966334,0.28830562471287696,0.3124338892835676,0.9302646416195142,1.002701031889225,0.9736571483706906,0.7055839264600429,0.11974732515011531,0.1656641681671297,0.9586406298678325,0.263744454213349,0.4496336607682643,0.24230415621930676,0.08869416656398409,29,Man,sad,middle eastern
/home/peisze/PycharmProjects/causalgaze/xgaze_224/train/samples/subject0003/frame[10]_cam[0].jpg,0.09001708276435218,0.08864966360006343,0.2047085601259557,0.2152355384576036,0.36543161349754155,0.38841044640001743,0.3616947716660456,0.14898044761475635,2.112109299870971,0.2760814988911721,0.29924216075554605,0.9164837751333342,0.9822776967469115,0.9674533395391953,0.6785366940588006,0.1189398451613211,0.18755650337642615,0.9288632071564107,0.27123678198182427,0.4583268838565606,0.2214018127683449,0.09607846693105883,29,Man,sad,latino hispanic
